계정 구분,계정과목 코드,계정 명칭,계정 설명,Dr/Cr,사용 거래,비고
자산 - 유동자산,1010,보통예금,결제금액 및 환불금 입출금 계정,Dr,① 정상 결제 / ⑥ 교환 환불,환불 시 음수(Cr)로 처리
자산 - 유동자산,1020,상품,판매 목적의 상품 재고,Dr,② 정상반품 재고 복구 / ③④ 하자반품 재고 복구 / ⑥ 교환 신규 상품 입고,재고 추가 시 증가(Dr)
자산 - 유동자산,1030,상품(평가절하),하자 상품 평가절하 금액,Dr,③④ 하자반품 재고 평가절하,재고 부분 손상 시 평가절하
자산 - 유동자산,1040,미청구수익,배송 완료 후 반품 대기 중 매출 (수익인식 미실행),Dr,① 정상 배송 시 배송 후 반품 기간(10일),수익인식 연기
자산 - 유동자산,1050,미지급금(고객환불),고객에게 환불할 미지급 금액,Dr,② ③④ ⑥ 환불금 미지급 계정,음수 값으로 환불액 처리
자산 - 유동자산,1060,부가세예수금,반품 및 환입 시 환급받을 부가세,Dr,② ③④ ⑥ 반품 시 부가세 환급,부가세 감소 항목
자산 - 유동자산,1070,외상매출금,외상으로 판매한 상품,Dr,외상 판매 시 (선택),선택사항 (선수금 미사용 시)
부채 - 유동부채,2010,선수금,결제 후 상품 미배송 시 선수금,Cr,결제 시 상품 미배송 상태 선수금 기록,선수금 계정(2010) 선택사항
부채 - 유동부채,2020,선수금(반품기간),배송 후 반품기간(10일) 중 선수금,Cr,배송 후 반품기간(10일) 중 선수금 대기,배송 후 반품기간 대기 선수금
부채 - 유동부채,2030,미지급금,"공급사, 배송사, 고객에게 지급할 금액",Cr,"공급사 결제, 환불금 지급, 배송사 수수료 등",지급 시 음수(Cr)로 처리
부채 - 유동부채,2040,부가세납부금,납부할 부가세,Cr,부가세 납부 (감소 시),환급 시 음수(Cr)로 처리
수익,4010,매출,정상 배송 완료 매출,Cr,① 정상 배송 매출인식 / ⑤ 반품거부 매출 유지,기본 매출 계정
수익,4020,매출환입,반품 승인 시 발생하는 매출 차감,Dr,② ③④ ⑥ 반품 승인 시 매출 환입,환입은 음수(-)로 표시
수익,4030,미청구매출,배송 완료 후 미청구 상태의 매출,Cr,① 배송 후 반품기간 중 미청구 상태 매출,배송 후 10일 경과 전 매출
수익,4040,수익(배송),배송 수수료 매출(해당 시),Cr,배송 수수료 수익(해당 시),해당사항 있을 시만 사용
수익,4050,환입수익,환불로 인한 수익 차감,Dr,환입수익 차감(선택),선택사항
매출원가,5010,매출원가,판매한 상품의 원가,Cr,① 정상 배송 완료 원가 인식 / ② ④ 반품 상품 원가,원가 기준 처리
매출원가,5020,매출원가(반품),반품된 상품의 원가 복구/손실,Dr,② 정상반품 상품 원가 복구 / ③ 하자반품 상품 원가,반품 시 원가 역분개
비용 - 판매비와관리비,6010,재고평가손실,폐기된 불량 상품 손실,Dr,③④ 폐기 상품 손실금액 기록,재고손실률 100% 손실
비용 - 판매비와관리비,6020,반품운송료,반품 배송비 (회사 부담),Dr,② 반품 배송비(회사 부담),반품 배송비 회사 부담
